gvkey,lpermno,datadate,fyear,indfmt,consol,popsrc,datafmt,cusip,CURCD,ACT,AT,CHE,CSHO,DLC,DP,DVP,IB,LCT,LT,PSTKL,PSTKRV,TXDI,TXDITC,UPSTK,COSTAT,SICH,adjex_f,SIC
001440,24109,20011231,2001,INDL,C,D,STD,025537101,USD,12563.0000,47281.0000,333.0000,322.2350,5550.0000,1383.0000,10.0000,1013.0000,18099.0000,38146.0000,156.0000,156.0000,101.0000,5314.0000,0.0000,A,4911,1.0000,4911
001440,24109,20021231,2002,INDL,C,D,STD,025537101,USD,6101.0000,34741.0000,1213.0000,338.8350,4855.0000,1377.0000,11.0000,32.0000,9790.0000,26773.0000,145.0000,145.0000,-161.0000,4371.0000,0.0000,A,4911,1.0000,4911
001440,24109,20031231,2003,INDL,C,D,STD,025537101,USD,4897.0000,36744.0000,1182.0000,395.0160,2156.0000,1299.0000,9.0000,531.0000,5982.0000,28809.0000,61.0000,61.0000,35.0000,4379.0000,0.0000,A,4911,1.0000,4911
001440,24109,20041231,2004,INDL,C,D,STD,025537101,USD,4021.0000,34663.0000,595.0000,395.8580,1421.0000,1300.0000,6.0000,1133.0000,5007.0000,26087.0000,61.0000,61.0000,260.0000,5212.0000,0.0000,A,4911,1.0000,4911
001440,24109,20051231,2005,INDL,C,D,STD,025537101,USD,3945.0000,36172.0000,528.0000,393.7190,1221.0000,1318.0000,7.0000,1036.0000,5460.0000,27023.0000,61.0000,61.0000,32.0000,5171.0000,0.0000,A,4911,1.0000,4911
001440,24109,20061231,2006,INDL,C,D,STD,025537101,USD,3588.0000,37987.0000,726.0000,396.6750,1368.0000,1467.0000,3.0000,995.0000,5456.0000,28514.0000,61.0000,61.0000,-5.0000,5022.0000,0.0000,A,4911,1.0000,4911
001440,24109,20071231,2007,INDL,C,D,STD,025537101,USD,3052.0000,40366.0000,543.0000,400.4270,1556.0000,1513.0000,3.0000,1147.0000,5207.0000,30226.0000,61.0000,61.0000,51.0000,5041.0000,0.0000,A,4911,1.0000,4911
001440,24109,20081231,2008,INDL,C,D,STD,025537101,USD,3775.0000,45155.0000,738.0000,406.0710,2522.0000,1483.0000,3.0000,1371.0000,6297.0000,34401.0000,61.0000,61.0000,478.0000,5422.0000,0.0000,A,4911,1.0000,4911
001440,24109,20091231,2009,INDL,C,D,STD,025537101,USD,4756.0000,48348.0000,853.0000,478.0540,1940.0000,1597.0000,3.0000,1365.0000,5327.0000,35147.0000,61.0000,61.0000,1226.0000,6700.0000,0.0000,A,4911,1.0000,4911
001440,24109,20101231,2010,INDL,C,D,STD,025537101,USD,5016.0000,50455.0000,710.0000,480.8070,2731.0000,1641.0000,3.0000,1214.0000,6518.0000,36773.0000,60.0000,60.0000,798.0000,7633.0000,0.0000,A,4911,1.0000,4911
001440,24109,20111231,2011,INDL,C,D,STD,025537101,USD,4182.0000,52223.0000,515.0000,483.4230,3157.0000,1655.0000,5.0000,1573.0000,6611.0000,37558.0000,0.0000,0.0000,761.0000,8398.0000,0.0000,A,4911,1.0000,4911
002285,19561,19611231,1961,INDL,C,D,STD,097023105,USD,445.7000,590.3000,52.1000,7.9820,0.0000,20.6360,0.0000,35.6600,266.3000,330.9120,0.0000,0.0000,0.0000,0.0000,,A,,60.7500,3721
002285,19561,19621231,1962,INDL,C,D,STD,097023105,USD,509.5000,648.1000,28.3000,7.9920,66.6000,21.0490,0.0000,27.1500,312.2000,377.3000,0.0000,0.0000,,0.0000,,A,,60.7500,3721
002285,19561,19631231,1963,INDL,C,D,STD,097023105,USD,542.2000,690.3000,23.2000,8.0130,37.1000,21.5590,0.0000,21.6790,298.8000,413.9650,0.0000,0.0000,,0.0000,,A,,60.7500,3721
002285,19561,19641231,1964,INDL,C,D,STD,097023105,USD,486.9660,651.4410,47.7670,8.0370,0.0000,24.6670,0.0000,45.3240,235.2940,345.0010,0.0000,0.0000,,0.0000,,A,,60.7500,3721
002285,19561,19651231,1965,INDL,C,D,STD,097023105,USD,552.4420,762.2270,97.1210,8.1870,2.7500,25.4890,0.0000,78.2700,292.1820,390.4710,0.0000,0.0000,,0.0000,,A,,60.7500,3721
002285,19561,19661231,1966,INDL,C,D,STD,097023105,USD,802.0000,1444.5000,72.2000,19.4970,5.4000,50.0460,0.0000,76.1330,367.7000,880.8430,0.0000,0.0000,24.0000,46.5970,,A,,30.3750,3721
002285,19561,19671231,1967,INDL,C,D,STD,097023105,USD,1062.7000,2030.4000,64.0000,21.5970,62.9000,93.2300,0.0000,83.9380,704.3850,1278.8080,0.0000,0.0000,23.1300,93.9230,,A,,30.3750,3721
002285,19561,19681231,1968,INDL,C,D,STD,097023105,USD,1256.1000,2186.1000,58.4000,21.6470,14.7000,114.4390,0.0000,82.9720,789.1000,1375.7390,0.0000,0.0000,0.8200,116.1390,,A,,30.3750,3721
002285,19561,19691231,1969,INDL,C,D,STD,097023105,USD,1690.5280,2602.4440,81.2050,21.6830,188.2050,122.2260,0.0000,10.2300,1080.0610,1806.4280,0.0000,0.0000,-19.6000,93.9000,,A,,30.3750,3721
002285,19561,19701231,1970,INDL,C,D,STD,097023105,USD,1769.2480,2621.8190,63.2650,21.6830,218.5270,112.8950,0.0000,22.0900,1112.6300,1812.3860,0.0000,0.0000,-21.7000,76.0000,,A,,30.3750,3721
002285,19561,19711231,1971,INDL,C,D,STD,097023105,USD,1727.2870,2464.4240,88.2610,21.6830,375.4920,101.8550,0.0000,22.4300,1032.4960,1621.4540,0.0000,0.0000,-0.5000,61.4000,,A,,30.3750,3721
